epoch,train,test
1,0.108053,0.005412
2,0.005371,0.005400
3,0.005358,0.005391
4,0.005344,0.005381
5,0.005331,0.005371
6,0.005316,0.005362
7,0.005302,0.005351
8,0.005287,0.005341
9,0.005271,0.005330
10,0.005255,0.005318
11,0.005240,0.005309
12,0.005223,0.005295
13,0.005206,0.005285
14,0.005190,0.005273
15,0.005172,0.005262
16,0.005155,0.005250
17,0.005135,0.005237
18,0.005117,0.005226
19,0.005100,0.005214
20,0.005081,0.005202
21,0.005062,0.005190
22,0.005044,0.005178
23,0.005024,0.005164
24,0.005006,0.005154
25,0.004987,0.005142
26,0.004968,0.005129
27,0.004949,0.005118
28,0.004931,0.005103
29,0.004912,0.005095
30,0.004892,0.005081
31,0.004874,0.005069
32,0.004854,0.005060
33,0.004835,0.005049
34,0.004817,0.005035
35,0.004796,0.005027
36,0.004777,0.005014
37,0.004759,0.005002
38,0.004740,0.004989
39,0.004721,0.004979
40,0.004701,0.004969
41,0.004682,0.004956
42,0.004664,0.004945
43,0.004645,0.004931
44,0.004623,0.004919
45,0.004606,0.004909
46,0.004586,0.004901
47,0.004570,0.004885
48,0.004550,0.004880
49,0.004533,0.004867
50,0.004515,0.004855
51,0.004497,0.004846
52,0.004477,0.004838
53,0.004458,0.004826
54,0.004442,0.004813
55,0.004424,0.004804
56,0.004404,0.004796
57,0.004387,0.004784
58,0.004369,0.004776
59,0.004354,0.004765
60,0.004335,0.004756
61,0.004316,0.004746
62,0.004300,0.004733
63,0.004282,0.004724
64,0.004269,0.004715
65,0.004248,0.004710
66,0.004232,0.004699
67,0.004219,0.004688
68,0.004202,0.004679
69,0.004182,0.004671
70,0.004171,0.004664
71,0.004153,0.004653
72,0.004135,0.004646
73,0.004120,0.004637
74,0.004106,0.004625
75,0.004088,0.004621
76,0.004071,0.004608
77,0.004059,0.004601
78,0.004042,0.004600
79,0.004029,0.004588
80,0.004014,0.004583
81,0.004000,0.004579
82,0.003982,0.004566
83,0.003968,0.004563
84,0.003954,0.004556
85,0.003939,0.004545
86,0.003927,0.004539
87,0.003910,0.004533
88,0.003897,0.004518
89,0.003882,0.004519
90,0.003871,0.004510
91,0.003855,0.004504
92,0.003841,0.004500
93,0.003829,0.004492
94,0.003817,0.004486
95,0.003804,0.004479
96,0.003789,0.004475
